kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_count
0752.01,CONFIRMED,9.488035570,2.7750000e-05,-2.7750000e-05,2.26,2.600e-01,-1.500e-01,2
0752.02,CONFIRMED,54.418382700,2.4790000e-04,-2.4790000e-04,2.83,3.200e-01,-1.900e-01,2
0753.01,CANDIDATE,19.899139950,1.4940000e-05,-1.4940000e-05,14.60,3.920e+00,-1.310e+00,1
0754.01,FALSE POSITIVE,1.736952453,2.6300000e-07,-2.6300000e-07,33.46,8.500e+00,-2.830e+00,1
0755.01,CONFIRMED,2.525591777,3.7610000e-06,-3.7610000e-06,2.75,8.800e-01,-3.500e-01,1
0756.01,CONFIRMED,11.094320540,2.0360000e-05,-2.0360000e-05,3.90,1.270e+00,-4.200e-01,3
0756.02,CONFIRMED,4.134435120,1.0460000e-05,-1.0460000e-05,2.77,9.000e-01,-3.000e-01,3
0756.03,CONFIRMED,2.566588970,1.7810000e-05,-1.7810000e-05,1.59,5.200e-01,-1.700e-01,3
0114.01,FALSE POSITIVE,7.361789580,2.1280000e-05,-2.1280000e-05,39.21,6.450e+00,-9.670e+00,1
0757.01,CONFIRMED,16.068646740,1.0880000e-05,-1.0880000e-05,5.76,2.200e-01,-4.900e-01,3
0001.01,CONFIRMED,2.470613377,2.7000000e-08,-2.7000000e-08,13.04,5.100e-01,-5.100e-01,1
0002.01,CONFIRMED,2.204735417,4.3000000e-08,-4.3000000e-08,16.10,8.100e-01,-9.100e-01,1
0010.01,CONFIRMED,3.522498429,1.9800000e-07,-1.9800000e-07,14.59,1.110e+00,-1.110e+00,1
0112.02,CONFIRMED,3.709214104,6.5360000e-06,-6.5360000e-06,1.16,1.700e-01,-1.200e-01,2
0742.01,FALSE POSITIVE,11.521446064,1.9800000e-06,-1.9800000e-06,150.51,3.976e+01,-1.331e+01,1
0743.01,FALSE POSITIVE,19.403937760,2.0680000e-05,-2.0680000e-05,7.18,7.600e-01,-6.800e-01,1
0744.01,FALSE POSITIVE,19.221388942,1.1230000e-06,-1.1230000e-06,49.29,1.603e+01,-5.000e+00,2
0745.01,FALSE POSITIVE,16.469837740,1.3610000e-05,-1.3610000e-05,7.94,8.900e-01,-8.900e-01,1
0746.01,CONFIRMED,9.273581730,1.0370000e-05,-1.0370000e-05,2.47,2.000e-01,-2.400e-01,1
0747.01,CONFIRMED,6.029303290,5.5090000e-06,-5.5090000e-06,2.85,2.600e-01,-1.500e-01,1
0748.01,FALSE POSITIVE,2.696370652,7.5340000e-06,-7.5340000e-06,1.58,1.300e-01,-1.600e-01,1
0749.01,CONFIRMED,5.349553819,8.8340000e-06,-8.8340000e-06,2.55,1.600e-01,-2.400e-01,3
0749.02,CONFIRMED,3.941052210,1.0940000e-05,-1.0940000e-05,1.70,1.100e-01,-1.600e-01,3
0749.03,CONFIRMED,8.109048070,6.7870000e-05,-6.7870000e-05,1.30,9.000e-02,-1.200e-01,3
0113.01,FALSE POSITIVE,386.603052800,1.3690000e-04,-1.3690000e-04,41.50,1.680e+00,-1.680e+00,1
0750.01,CONFIRMED,21.676991930,7.0100000e-05,-7.0100000e-05,2.95,1.200e-01,-2.300e-01,4
0751.01,CONFIRMED,4.996779680,1.3890000e-05,-1.3890000e-05,2.78,5.200e-01,-2.300e-01,1
0769.01,CONFIRMED,4.280963604,6.1410000e-06,-6.1410000e-06,2.30,5.800e-01,-1.900e-01,1
0770.01,FALSE POSITIVE,1.506354090,4.7000000e-07,-4.7000000e-07,4.53,1.010e+00,-4.400e-01,1
0771.01,FALSE POSITIVE,670.645531000,1.2370000e-03,-1.2370000e-03,14.14,2.130e+00,-7.100e-01,1
0772.01,FALSE POSITIVE,61.256362800,1.5600000e-04,-1.5600000e-04,39.87,1.279e+01,-5.480e+00,1
0773.01,CONFIRMED,38.377548600,1.6020000e-04,-1.6020000e-04,2.82,3.700e-01,-3.400e-01,1
0757.02,CONFIRMED,41.197255020,9.3450000e-05,-9.3450000e-05,3.86,1.500e-01,-3.300e-01,3
0757.03,CONFIRMED,6.252962249,9.5770000e-06,-9.5770000e-06,2.65,1.000e-01,-2.300e-01,3
0758.01,CONFIRMED,16.013084190,4.8540000e-05,-4.8540000e-05,3.10,3.400e-01,-3.100e-01,1
0759.01,CONFIRMED,32.628766720,5.8010000e-05,-5.8010000e-05,3.36,7.600e-01,-3.300e-01,2
0759.02,CONFIRMED,91.773286200,7.5180000e-04,-7.5180000e-04,2.12,4.800e-01,-2.100e-01,2
0760.01,CANDIDATE,4.959319244,5.1500000e-07,-5.1500000e-07,12.21,1.960e+00,-1.460e+00,1
0761.01,FALSE POSITIVE,2.701287801,5.6340000e-06,-5.6340000e-06,6.54,1.640e+00,-7.500e-01,1
0762.01,CONFIRMED,4.498765110,1.7770000e-05,-1.7770000e-05,2.10,6.500e-01,-2.200e-01,1
0763.01,FALSE POSITIVE,19.651209505,5.8620000e-06,-5.8620000e-06,12.42,3.920e+00,-1.690e+00,1
0115.01,CONFIRMED,5.412203927,3.0520000e-06,-3.0520000e-06,2.94,4.300e-01,-3.800e-01,3
0764.01,CONFIRMED,41.439586620,7.5570000e-05,-7.5570000e-05,5.50,1.570e+00,-9.600e-01,1
0765.01,CONFIRMED,8.353895230,1.5240000e-05,-1.5240000e-05,2.52,5.400e-01,-2.400e-01,1
0766.01,CONFIRMED,4.125543472,3.1330000e-06,-3.1330000e-06,4.43,1.440e+00,-5.100e-01,1
0767.01,CONFIRMED,2.816504904,1.6500000e-07,-1.6500000e-07,12.21,1.620e+00,-8.700e-01,1
0768.01,FALSE POSITIVE,33.933734470,6.1540000e-05,-6.1540000e-05,7.34,9.000e-01,-6.000e-01,1
0786.01,CONFIRMED,3.689920099,8.9820000e-06,-8.9820000e-06,1.89,5.400e-01,-2.000e-01,1
0787.01,CONFIRMED,4.431238488,6.1060000e-06,-6.1060000e-06,3.25,4.700e-01,-2.500e-01,3
